"municipio_res","CVE_MUN","NOM_MUN","sector","grupoedad","sexo","fecha_def","observaciones","confirmados","decesos","pruebas","confirmados_lab","descartados_lab","sospechosos","hospitalizados","uci","neumonia","intubado","ambulatorios"
1,26001,"Aconchi","IMSS","30-59","Hombre","2021-03-19",1,1,1,0,0,0,0,1,0,2,1,0
1,26001,"Aconchi","IMSS","60 o más","Hombre","2022-01-06",1,1,1,1,1,0,0,1,0,2,1,0
1,26001,"Aconchi","IMSS","60 o más","Mujer","2020-10-02",1,1,1,1,1,0,0,1,0,2,1,0
1,26001,"Aconchi","IMSS","60 o más","Mujer","2020-10-17",1,1,1,1,1,0,0,1,0,2,1,0
1,26001,"Aconchi","IMSS","60 o más","Mujer","2021-09-13",1,1,1,1,1,0,0,1,0,2,1,0
1,26001,"Aconchi","IMSS","60 o más","Mujer","2021-10-12",1,0,0,1,0,1,0,0,0,1,0,0
1,26001,"Aconchi","SSA","30-59","Mujer","2020-11-18",1,1,1,0,0,0,0,1,0,1,1,0
1,26001,"Aconchi","SSA","60 o más","Hombre","2020-08-05",1,1,1,1,1,0,0,1,0,1,1,0
1,26001,"Aconchi","SSA","60 o más","Mujer","2020-07-12",1,1,1,1,1,0,0,1,0,1,1,0
2,26002,"Agua Prieta","IMSS","0-14","Hombre","2021-12-29",1,1,1,1,1,0,0,1,0,2,1,0
2,26002,"Agua Prieta","IMSS","15-29","Hombre","2020-05-09",1,1,1,0,0,0,0,1,0,2,1,0
2,26002,"Agua Prieta","IMSS","15-29","Hombre","2020-11-16",1,1,1,0,0,0,0,1,0,2,2,0
2,26002,"Agua Prieta","IMSS","15-29","Mujer","2020-11-26",1,1,1,1,1,0,0,1,0,2,1,0
2,26002,"Agua Prieta","IMSS","30-59","Hombre","2020-03-24",1,0,0,1,0,1,0,0,0,1,1,0
2,26002,"Agua Prieta","IMSS","30-59","Hombre","2020-05-04",1,0,0,1,0,1,0,0,0,1,0,0
2,26002,"Agua Prieta","IMSS","30-59","Hombre","2020-05-29",1,1,1,1,1,0,0,1,0,2,2,0
2,26002,"Agua Prieta","IMSS","30-59","Hombre","2020-06-06",1,0,0,1,0,1,0,0,0,1,0,0
2,26002,"Agua Prieta","IMSS","30-59","Hombre","2020-06-15",1,1,1,1,1,0,0,1,0,1,1,0
2,26002,"Agua Prieta","IMSS","30-59","Hombre","2020-06-16",1,1,1,1,1,0,0,1,0,2,2,0
2,26002,"Agua Prieta","IMSS","30-59","Hombre","2020-06-22",1,1,1,1,1,0,0,1,0,1,1,0
2,26002,"Agua Prieta","IMSS","30-59","Hombre","2020-06-23",1,1,1,1,1,0,0,1,0,1,1,0
2,26002,"Agua Prieta","IMSS","30-59","Hombre","2020-07-01",1,1,1,1,1,0,0,1,0,1,1,0
2,26002,"Agua Prieta","IMSS","30-59","Hombre","2020-07-02",2,2,2,2,2,0,0,2,0,2,2,0
2,26002,"Agua Prieta","IMSS","30-59","Hombre","2020-07-10",1,1,1,0,0,0,0,1,0,1,1,0
2,26002,"Agua Prieta","IMSS","30-59","Hombre","2020-07-12",1,1,1,1,1,0,0,1,0,1,2,0
2,26002,"Agua Prieta","IMSS","30-59","Hombre","2020-07-13",1,1,1,1,1,0,0,1,0,1,2,0
2,26002,"Agua Prieta","IMSS","30-59","Hombre","2020-07-14",1,1,1,1,1,0,0,1,0,2,1,0
2,26002,"Agua Prieta","IMSS","30-59","Hombre","2020-07-17",1,1,1,1,1,0,0,1,0,2,2,0
2,26002,"Agua Prieta","IMSS","30-59","Hombre","2020-07-21",1,1,1,1,1,0,0,1,0,2,1,0
2,26002,"Agua Prieta","IMSS","30-59","Hombre","2020-07-24",1,1,1,1,1,0,0,1,0,2,1,0
2,26002,"Agua Prieta","IMSS","30-59","Hombre","2020-07-26",2,2,2,2,2,0,0,2,0,4,3,0
2,26002,"Agua Prieta","IMSS","30-59","Hombre","2020-08-31",1,0,0,1,0,1,0,0,0,1,0,0
2,26002,"Agua Prieta","IMSS","30-59","Hombre","2020-09-16",1,0,0,1,0,1,0,0,0,1,0,0
2,26002,"Agua Prieta","IMSS","30-59","Hombre","2020-10-23",1,0,0,1,0,1,0,0,0,1,0,0
2,26002,"Agua Prieta","IMSS","30-59","Hombre","2020-10-27",1,1,1,1,1,0,0,1,0,2,1,0
2,26002,"Agua Prieta","IMSS","30-59","Hombre","2020-11-06",1,1,1,1,1,0,0,1,0,1,1,0
2,26002,"Agua Prieta","IMSS","30-59","Hombre","2020-11-09",1,1,1,1,1,0,0,1,0,2,1,0
2,26002,"Agua Prieta","IMSS","30-59","Hombre","2020-11-10",1,1,1,1,1,0,0,1,0,2,1,0
2,26002,"Agua Prieta","IMSS","30-59","Hombre","2020-11-19",1,1,1,1,1,0,0,1,0,1,1,0
2,26002,"Agua Prieta","IMSS","30-59","Hombre","2020-11-21",1,1,1,1,1,0,0,1,0,2,1,0
2,26002,"Agua Prieta","IMSS","30-59","Hombre","2020-11-23",2,1,1,1,1,0,1,1,0,2,1,0
2,26002,"Agua Prieta","IMSS","30-59","Hombre","2020-11-24",1,1,1,1,1,0,0,1,0,2,1,0
2,26002,"Agua Prieta","IMSS","30-59","Hombre","2020-11-25",1,1,1,1,1,0,0,1,0,2,1,0
