"municipio_res","CVE_MUN","NOM_MUN","sector","grupoedad","sexo","fecha_sintomas","observaciones","confirmados","decesos","pruebas","confirmados_lab","descartados_lab","sospechosos","hospitalizados","uci","neumonia","intubado","ambulatorios"
1,26001,"Aconchi","Estatal","15-29","Hombre",2022-08-07,1,1,0,1,1,0,0,0,0,0,0,1
1,26001,"Aconchi","Estatal","30-59","Mujer",2022-08-08,1,1,0,0,0,0,0,0,0,0,0,1
1,26001,"Aconchi","IMSS","0-14","Hombre",2022-07-09,1,1,0,1,1,0,0,0,0,0,0,1
1,26001,"Aconchi","IMSS","30-59","Mujer",2022-06-25,1,1,0,1,1,0,0,0,0,0,0,1
1,26001,"Aconchi","IMSS","60 o más","Hombre",2022-01-13,1,0,0,1,0,1,0,0,0,0,0,0
1,26001,"Aconchi","IMSS","60 o más","Hombre",2022-06-20,1,1,0,1,1,0,0,0,0,0,0,1
1,26001,"Aconchi","IMSS","60 o más","Hombre",2022-07-25,1,1,0,1,1,0,0,1,0,2,1,0
1,26001,"Aconchi","SSA","15-29","Hombre",2022-01-16,1,0,0,1,0,1,0,0,0,0,0,0
1,26001,"Aconchi","SSA","30-59","Mujer",2022-08-12,1,1,0,1,1,0,0,1,0,2,1,0
1,26001,"Aconchi","SSA","60 o más","Hombre",2022-01-19,1,1,0,1,1,0,0,1,0,2,1,0
2,26002,"Agua Prieta","Estatal","30-59","Mujer",2022-05-15,1,1,0,1,1,0,0,1,0,1,1,0
2,26002,"Agua Prieta","IMSS","0-14","Hombre",2022-01-14,1,1,0,1,1,0,0,1,0,2,1,0
2,26002,"Agua Prieta","IMSS","0-14","Hombre",2022-01-17,1,1,0,1,1,0,0,1,0,1,1,0
2,26002,"Agua Prieta","IMSS","0-14","Hombre",2022-01-24,1,1,0,1,1,0,0,0,0,0,0,1
2,26002,"Agua Prieta","IMSS","0-14","Hombre",2022-01-27,1,1,0,1,1,0,0,0,0,0,0,1
2,26002,"Agua Prieta","IMSS","0-14","Hombre",2022-01-31,1,1,0,1,1,0,0,0,0,0,0,1
2,26002,"Agua Prieta","IMSS","0-14","Hombre",2022-06-24,1,0,0,1,0,1,0,0,0,0,0,0
2,26002,"Agua Prieta","IMSS","0-14","Hombre",2022-07-05,1,1,0,1,1,0,0,0,0,0,0,1
2,26002,"Agua Prieta","IMSS","0-14","Hombre",2022-07-10,1,1,0,1,1,0,0,0,0,0,0,1
2,26002,"Agua Prieta","IMSS","0-14","Hombre",2022-07-13,1,1,0,1,1,0,0,0,0,0,0,1
2,26002,"Agua Prieta","IMSS","0-14","Hombre",2022-08-04,1,1,0,1,1,0,0,0,0,0,0,1
2,26002,"Agua Prieta","IMSS","0-14","Mujer",2022-01-04,1,0,0,1,0,1,0,0,0,0,0,0
2,26002,"Agua Prieta","IMSS","0-14","Mujer",2022-01-17,1,1,0,1,1,0,0,0,0,0,0,1
2,26002,"Agua Prieta","IMSS","0-14","Mujer",2022-01-18,1,1,0,1,1,0,0,0,0,0,0,1
2,26002,"Agua Prieta","IMSS","0-14","Mujer",2022-01-23,1,0,0,1,0,1,0,0,0,0,0,0
2,26002,"Agua Prieta","IMSS","0-14","Mujer",2022-01-24,1,1,0,1,1,0,0,0,0,0,0,1
2,26002,"Agua Prieta","IMSS","0-14","Mujer",2022-01-26,1,1,0,1,1,0,0,0,0,0,0,1
2,26002,"Agua Prieta","IMSS","0-14","Mujer",2022-01-30,1,1,0,1,1,0,0,0,0,0,0,1
2,26002,"Agua Prieta","IMSS","0-14","Mujer",2022-02-07,1,1,0,1,1,0,0,1,0,2,1,0
2,26002,"Agua Prieta","IMSS","0-14","Mujer",2022-07-04,1,1,0,1,1,0,0,0,0,0,0,1
2,26002,"Agua Prieta","IMSS","0-14","Mujer",2022-07-12,1,1,0,1,1,0,0,0,0,0,0,1
2,26002,"Agua Prieta","IMSS","0-14","Mujer",2022-07-20,2,2,0,2,2,0,0,0,0,0,0,2
2,26002,"Agua Prieta","IMSS","0-14","Mujer",2022-07-22,1,1,0,1,1,0,0,0,0,0,0,1
2,26002,"Agua Prieta","IMSS","15-29","Hombre",2022-01-03,2,1,0,2,1,1,0,0,0,0,0,1
2,26002,"Agua Prieta","IMSS","15-29","Hombre",2022-01-04,2,2,0,2,2,0,0,0,0,0,0,2
2,26002,"Agua Prieta","IMSS","15-29","Hombre",2022-01-06,4,1,0,4,1,3,0,0,0,0,0,1
2,26002,"Agua Prieta","IMSS","15-29","Hombre",2022-01-07,2,1,0,2,1,1,0,0,0,0,0,1
2,26002,"Agua Prieta","IMSS","15-29","Hombre",2022-01-08,1,1,0,1,1,0,0,0,0,0,0,1
2,26002,"Agua Prieta","IMSS","15-29","Hombre",2022-01-09,2,2,0,2,2,0,0,0,0,0,0,2
2,26002,"Agua Prieta","IMSS","15-29","Hombre",2022-01-11,2,2,0,2,2,0,0,0,0,0,0,2
2,26002,"Agua Prieta","IMSS","15-29","Hombre",2022-01-12,1,1,0,1,1,0,0,0,0,0,0,1
2,26002,"Agua Prieta","IMSS","15-29","Hombre",2022-01-13,2,2,0,2,2,0,0,0,0,0,0,2
2,26002,"Agua Prieta","IMSS","15-29","Hombre",2022-01-14,3,2,0,3,2,1,0,1,0,1,1,1
2,26002,"Agua Prieta","IMSS","15-29","Hombre",2022-01-17,4,4,0,4,4,0,0,0,0,0,0,4
2,26002,"Agua Prieta","IMSS","15-29","Hombre",2022-01-18,3,3,0,3,3,0,0,0,0,0,0,3
2,26002,"Agua Prieta","IMSS","15-29","Hombre",2022-01-19,5,5,0,5,5,0,0,0,0,0,0,5
2,26002,"Agua Prieta","IMSS","15-29","Hombre",2022-01-20,1,1,0,1,1,0,0,0,0,0,0,1
2,26002,"Agua Prieta","IMSS","15-29","Hombre",2022-01-23,3,3,0,3,3,0,0,0,0,0,0,3
2,26002,"Agua Prieta","IMSS","15-29","Hombre",2022-01-24,1,1,0,1,1,0,0,0,0,0,0,1
2,26002,"Agua Prieta","IMSS","15-29","Hombre",2022-01-25,3,3,0,3,3,0,0,0,0,0,0,3
2,26002,"Agua Prieta","IMSS","15-29","Hombre",2022-01-26,2,2,0,2,2,0,0,0,0,0,0,2
2,26002,"Agua Prieta","IMSS","15-29","Hombre",2022-01-28,1,1,0,1,1,0,0,0,0,0,0,1
2,26002,"Agua Prieta","IMSS","15-29","Hombre",2022-02-01,1,1,0,1,1,0,0,0,0,0,0,1
2,26002,"Agua Prieta","IMSS","15-29","Hombre",2022-02-06,1,1,0,1,1,0,0,0,0,0,0,1
2,26002,"Agua Prieta","IMSS","15-29","Hombre",2022-02-18,1,1,0,1,1,0,0,0,0,0,0,1
2,26002,"Agua Prieta","IMSS","15-29","Hombre",2022-02-22,1,1,0,1,1,0,0,0,0,0,0,1
2,26002,"Agua Prieta","IMSS","15-29","Hombre",2022-06-20,1,1,0,1,1,0,0,0,0,0,0,1
